# z [m], Vert Contrast, Horz Contrast, Vert Period [m], Horz Period [m]
1.193, 0.0031482957, 0.0038580672, 1.5377778e-06, 1.5445521e-06
1.201, 0.010958015, 0.0070344516, 1.5400293e-06, 1.5422874e-06
1.209, 0.0045974994, 0.0065471489, 1.5400293e-06, 1.5445521e-06
1.217, 0.0096236311, 0.004150797, 1.5400293e-06, 1.5422874e-06
1.225, 0.0091773205, 0.0083969441, 1.5400293e-06, 1.5445521e-06
1.233, 0.0051690166, 0.0022986181, 1.5400293e-06, 1.5468235e-06
1.241, 0.010298069, 0.0071096862, 1.5400293e-06, 1.5445521e-06
1.249, 0.0027504203, 0.004505443, 1.5422874e-06, 1.5445521e-06
1.257, 0.0098448745, 0.0051965988, 1.5400293e-06, 1.5445521e-06
1.265, 0.0070099431, 0.0066336048, 1.5422874e-06, 1.5445521e-06
1.273, 0.0064794641, 0.0016807525, 1.5400293e-06, 1.5445521e-06
1.281, 0.0090184604, 0.0063327113, 1.5422874e-06, 1.5468235e-06
1.289, 0.0028996696, 0.0033295192, 1.5400293e-06, 1.5468235e-06
1.297, 0.010340336, 0.0050497789, 1.5422874e-06, 1.5468235e-06
1.305, 0.0044772085, 0.0058046404, 1.5445521e-06, 1.5468235e-06
1.313, 0.0081156401, 0.0025830405, 1.5422874e-06, 1.5445521e-06
1.321, 0.0074636867, 0.0060526293, 1.5445521e-06, 1.5468235e-06
1.329, 0.0046478444, 0.0023370977, 1.5422874e-06, 1.5491016e-06
1.337, 0.0099888582, 0.0054378971, 1.5445521e-06, 1.5468235e-06
1.345, 0.0025692536, 0.0049533466, 1.5468235e-06, 1.5491016e-06
1.353, 0.0084338429, 0.0029783185, 1.5445521e-06, 1.5468235e-06
1.361, 0.0052587596, 0.0054398122, 1.5445521e-06, 1.5491016e-06
1.369, 0.0056513157, 0.0014685535, 1.5445521e-06, 1.5513864e-06
1.377, 0.0080099238, 0.0052989161, 1.5445521e-06, 1.5491016e-06
1.385, 0.00180409, 0.0039308768, 1.5445521e-06, 1.5513864e-06
1.393, 0.0076631781, 0.0035788239, 1.5468235e-06, 1.5491016e-06
1.401, 0.0042652891, 0.0046941922, 1.5468235e-06, 1.5513864e-06
1.409, 0.0060537281, 0.0016071259, 1.5468235e-06, 1.5491016e-06
1.417, 0.007221325, 0.004946604, 1.5468235e-06, 1.5513864e-06
1.425, 0.002650586, 0.0028056213, 1.5445521e-06, 1.553678e-06
1.433, 0.0075273217, 0.0036749923, 1.5468235e-06, 1.5513864e-06
1.441, 0.0030201658, 0.0038655228, 1.5491016e-06, 1.553678e-06
1.449, 0.0062939254, 0.0019734996, 1.5468235e-06, 1.5513864e-06
1.457, 0.0062673479, 0.0042185289, 1.5491016e-06, 1.553678e-06
1.465, 0.0040996088, 0.0019953238, 1.5468235e-06, 1.5559763e-06
1.473, 0.0070694816, 0.0034684755, 1.5491016e-06, 1.553678e-06
1.481, 0.0021392805, 0.0032036597, 1.5513864e-06, 1.553678e-06
1.489, 0.0069230173, 0.002017325, 1.5491016e-06, 1.553678e-06
1.497, 0.0047824244, 0.004128707, 1.5513864e-06, 1.553678e-06
1.505, 0.0045465422, 0.0010604936, 1.5491016e-06, 1.5582815e-06
1.513, 0.0060425851, 0.0033989389, 1.5513864e-06, 1.553678e-06
1.521, 0.0019904726, 0.0028424836, 1.5491016e-06, 1.5559763e-06
1.529, 0.0063885744, 0.0021914941, 1.5513864e-06, 1.553678e-06
1.537, 0.0032630836, 0.0038188091, 1.5513864e-06, 1.5559763e-06
1.545, 0.0048035725, 0.0009136053, 1.5513864e-06, 1.5582815e-06
1.553, 0.0051695767, 0.0032809118, 1.5513864e-06, 1.5559763e-06
1.561, 0.0023782339, 0.0022403849, 1.5513864e-06, 1.5582815e-06
1.569, 0.0057724906, 0.0022993808, 1.5513864e-06, 1.5559763e-06
1.577, 0.002492718, 0.0030887831, 1.553678e-06, 1.5582815e-06
1.585, 0.0044064263, 0.00086033989, 1.5513864e-06, 1.5559763e-06
1.593, 0.0043167384, 0.0029706944, 1.553678e-06, 1.5582815e-06
1.601, 0.0026533232, 0.0017248937, 1.5513864e-06, 1.5605935e-06
1.609, 0.0053527811, 0.0021406951, 1.553678e-06, 1.5582815e-06
1.617, 0.0017940658, 0.0026533829, 1.5559763e-06, 1.5605935e-06
1.625, 0.0040956859, 0.00078265499, 1.553678e-06, 1.5559763e-06
1.633, 0.0034900743, 0.0023595516, 1.5559763e-06, 1.5605935e-06
1.641, 0.0027029441, 0.0014421525, 1.553678e-06, 1.5605935e-06
1.649, 0.0045560342, 0.0021057449, 1.5559763e-06, 1.5582815e-06
1.657, 0.001188588, 0.0023810413, 1.5582815e-06, 1.5605935e-06
1.665, 0.004019057, 0.00078555858, 1.5559763e-06, 1.5582815e-06
1.673, 0.0027023011, 0.0024478321, 1.5559763e-06, 1.5605935e-06
1.681, 0.003104216, 0.0011452856, 1.5559763e-06, 1.5629123e-06
1.689, 0.0040623093, 0.001770163, 1.5559763e-06, 1.5605935e-06
1.697, 0.0010662697, 0.0018342844, 1.553678e-06, 1.5629123e-06
